,listing_id,host_name,last_review,price,nbhood_full,description,room_type,borough,neighborhood
5085,8809245,Julia,2019-05-27,410,"Manhattan, Gramercy",Classic NY Apartment. Prime Manhattan Location,entire home/apt,Manhattan,Gramercy
5086,8813306,Mike,2019-06-24,185,"Manhattan, Hell's Kitchen",Cozy Apartment Near Times Square,entire home/apt,Manhattan,Hell's Kitchen
5087,8813854,Peter,2019-05-05,175,"Manhattan, Hell's Kitchen",Stay next to TimesSquare & Broadway,entire home/apt,Manhattan,Hell's Kitchen
5088,8814936,Paulina,2019-06-16,325,"Brooklyn, Williamsburg","Lovely Home, Heart of Williamsburg!",entire home/apt,Brooklyn,Williamsburg
5089,8819442,Jessy & Grant,2019-06-05,261,"Manhattan, Lower East Side",*PRIME* Linen & Lavender in the LES (Clinton St.),entire home/apt,Manhattan,Lower East Side
5090,8823897,Reuben,2019-06-23,57,"Brooklyn, Crown Heights",Massive Room in Brownstone - 25% OFF,private room,Brooklyn,Crown Heights
5091,8825297,Angela,2019-06-19,225,"Manhattan, East Harlem",SPACIOUS 2 BEDROOM MANHATTAN DUPLEX!!,entire home/apt,Manhattan,East Harlem
5092,8830825,Anita,2019-04-08,65,"Brooklyn, Prospect-Lefferts Gardens",Spacious Rooms near Barclays Center,private room,Brooklyn,Prospect-Lefferts Gardens
5093,8838513,Gretchen,2019-03-06,45,"Brooklyn, Bedford-Stuyvesant",Room in colorful Bushwick SUPER close to subways!,private room,Brooklyn,Bedford-Stuyvesant
5094,8838957,Lauren,2019-05-16,165,"Manhattan, SoHo",Lovely Space in the heart of SoHo!,entire home/apt,Manhattan,SoHo
5095,8842793,Kevin,2019-06-16,179,"Manhattan, Nolita",Private Patio in Soho/NoLita,entire home/apt,Manhattan,Nolita
5096,8843681,Irving,2019-07-08,115,"Brooklyn, Bedford-Stuyvesant",LARGE  2 BEDROOM DUPLEX WITH YARD,entire home/apt,Brooklyn,Bedford-Stuyvesant
5097,8843995,Jake And Catharine,2019-06-29,100,"Brooklyn, Bedford-Stuyvesant",Charming and Artsy Studio Apartment,entire home/apt,Brooklyn,Bedford-Stuyvesant
5098,8844402,Nadir,2019-07-07,75,"Queens, Astoria",Cozy room in the Heart of Astoria,private room,Queens,Astoria
5099,8845441,Dan,2019-04-11,56,"Brooklyn, Bushwick",Comfy private bedroom in Bushwick,private room,Brooklyn,Bushwick
5100,8845805,Tia,2019-06-30,95,"Manhattan, Washington Heights",Large Sunny Private Room,private room,Manhattan,Washington Heights
5101,8845951,T.,2019-06-18,70,"Manhattan, Harlem",Cozy & Private Harlem Bedroom,private room,Manhattan,Harlem
5102,8846293,Michion,2019-01-31,45,"Queens, Jamaica",5min from airport,private room,Queens,Jamaica
5103,8847542,Emmanuelle,2019-06-24,55,"Brooklyn, Bushwick",private bathroom and balcony,private room,Brooklyn,Bushwick
5104,8849684,Mikael,2019-06-11,105,"Brooklyn, Clinton Hill","Super clean, Great location!!",entire home/apt,Brooklyn,Clinton Hill
5105,8857546,Dlb,2019-05-26,45,"Queens, Laurelton",Comfy Rooms,private room,Queens,Laurelton
5106,8857842,Bahar,2019-06-15,95,"Brooklyn, Clinton Hill",Bright Charming Artistic Loft: Relax or Work,private room,Brooklyn,Clinton Hill
5107,8858228,Kate,2019-01-01,200,"Brooklyn, Cobble Hill",Spacious yet cozy apt; heart of BK,entire home/apt,Brooklyn,Cobble Hill
5108,8860450,Elizabeth,2019-06-14,190,"Manhattan, Gramercy",Stylish One-Bedroom in Gramercy!,entire home/apt,Manhattan,Gramercy
5109,8861269,Darryl,2019-06-18,170,"Manhattan, Harlem",Harlem Vacation Rental,entire home/apt,Manhattan,Harlem
5110,8863320,Nia & David,2019-06-23,115,"Brooklyn, Prospect Heights",Brooklyn Museum at your window,private room,Brooklyn,Prospect Heights
5111,8864262,Anne Marie,2019-06-17,225,"Manhattan, West Village",Greenwich Village Stylish Studio,entire home/apt,Manhattan,West Village
5112,8864740,Tny,2019-05-18,125,"Manhattan, Upper East Side",Charming 1 Bedroom in Townhouse,entire home/apt,Manhattan,Upper East Side
5113,8865499,Armando Rafael,2019-05-28,129,"Brooklyn, Greenpoint","Rustic, 1-bdrm retreat w/roof deck.",entire home/apt,Brooklyn,Greenpoint
5114,8866178,Gypsy,2019-06-23,135,"Manhattan, Hell's Kitchen",Clean cozy and convenient stay,entire home/apt,Manhattan,Hell's Kitchen
5115,8866669,Arielle,2019-01-13,175,"Brooklyn, Greenpoint",Gorgeous Loft in Greenpoint!,entire home/apt,Brooklyn,Greenpoint
5116,8869383,Stacy,2019-06-30,40,"Brooklyn, Prospect-Lefferts Gardens",Lefferts Garden/ Prospect Park Gem,private room,Brooklyn,Prospect-Lefferts Gardens
5117,8869857,Amy,2019-05-11,50,"Queens, Flushing",纽约之家(SunnyHome6),private room,Queens,Flushing
5118,8873479,Darin,2019-06-23,124,"Manhattan, Gramercy",Beautiful modern room with private bathroom,private room,Manhattan,Gramercy
5119,8877466,Emma,2019-03-19,65,"Brooklyn, Bushwick","Spacious Apt, 15min from the city",private room,Brooklyn,Bushwick
5120,8880999,Jasmin,2019-06-23,90,"Brooklyn, Bushwick",NicE Room  with Private Bathroom BK:) SUPERHOST :),private room,Brooklyn,Bushwick
5121,8881253,Quentin,2019-07-03,130,"Manhattan, Hell's Kitchen",A piece of Heaven in Hells Kitchen,private room,Manhattan,Hell's Kitchen
5122,8883269,Djamal,2019-05-20,100,"Queens, Maspeth",Cute 1 bedroom apt close to all,entire home/apt,Queens,Maspeth
5123,8884181,Holly/Rick,2019-07-07,200,"Brooklyn, Bedford-Stuyvesant",Greene Hill   3BR Brownstone Apt,entire home/apt,Brooklyn,Bedford-Stuyvesant
5124,8887907,Tracey,2019-07-01,50,"Manhattan, Inwood",Luxurious Manhattan Getaway for 1 adult,private room,Manhattan,Inwood
5125,8889118,Mike,2019-06-22,189,"Manhattan, Little Italy",Glamorous one bedroom Nolita.,entire home/apt,Manhattan,Little Italy
5126,8894773,Dan,2019-05-21,60,"Brooklyn, Bushwick",Cozy bedroom in Bushwick,private room,Brooklyn,Bushwick
5127,8899476,Jasmin,2019-06-21,85,"Brooklyn, Bushwick","ENTIRE Floor,PRIVATE Bath&Entrance! SUPERHOST :))",private room,Brooklyn,Bushwick
5128,8905651,Nadav,2019-06-30,59,"Brooklyn, Williamsburg",Cozy room in E.Williamsburg + Rooftop & Backyard,private room,Brooklyn,Williamsburg
5129,8906260,Che,2019-06-17,65,"Manhattan, Harlem",Cozy Harlem Studio,entire home/apt,Manhattan,Harlem
5130,8907184,Cyrus,2019-06-17,259,"Brooklyn, Williamsburg",Williamsburg 3 Bedroom Loft,entire home/apt,Brooklyn,Williamsburg
5131,8914109,Andrea,2019-05-15,60,"Manhattan, Harlem",Conveniently located Central Harlem,private room,Manhattan,Harlem
5132,8914649,Liam,2019-06-02,95,"Brooklyn, Bushwick",2 Rooms! Steps from the L train!,private room,Brooklyn,Bushwick
5133,8916387,Shannon,2019-06-30,133,"Manhattan, Upper West Side","Large, bright Upper West Studio",entire home/apt,Manhattan,Upper West Side
5134,8916716,J,2019-06-21,259,"Manhattan, Hell's Kitchen",Lovely 2 Bedroom Apartment. Perfect Getaway!,entire home/apt,Manhattan,Hell's Kitchen
5135,8916960,Patrick,2019-06-25,150,"Brooklyn, Park Slope",Central Park Slope Garden Apt,entire home/apt,Brooklyn,Park Slope
5136,8924966,Alex,2019-06-10,99,"Queens, Sunnyside",1BR+Futon+Terrace 20' to Manhattan,entire home/apt,Queens,Sunnyside
5137,8925072,Unue,2019-06-23,70,"Brooklyn, Bushwick",Big Bright Room in Bushwick NEXT to L and M Train,private room,Brooklyn,Bushwick
5138,8929521,Michael,2019-05-11,88,"Brooklyn, Crown Heights",Private studio room - Brownstone - Brooklyn,private room,Brooklyn,Crown Heights
5139,8932049,D,2019-05-04,80,"Manhattan, East Harlem",Big manhattan room w gorgeous views.,private room,Manhattan,East Harlem
5140,8937816,Tom,2019-06-19,195,"Brooklyn, Williamsburg",L-Train -  3BR Duplex in Brooklyn,entire home/apt,Brooklyn,Williamsburg
5141,8941820,Manchang,2019-06-20,70,"Queens, Woodside",Ensuite privacy close to Manhattan,private room,Queens,Woodside
5142,8942467,Vitaly And Lena,2019-06-23,96,"Brooklyn, Borough Park",Your own hip and cozy 1BD apartment,entire home/apt,Brooklyn,Borough Park
5143,8943358,Elle,2019-07-05,82,"Manhattan, SoHo",Loved by NYLocals Private Room SoHo,private room,Manhattan,SoHo
5144,8950419,Graham,2019-06-20,145,"Manhattan, Chinatown",Bright Artistic Downtown Studio,entire home/apt,Manhattan,Chinatown
5145,8951083,Mel,2019-07-02,169,"Brooklyn, Greenpoint",Bright Studio in the trees of North Williamsburg,entire home/apt,Brooklyn,Greenpoint
5146,8952816,Lolita,2019-06-16,45,"Queens, Astoria",CHARMING  ROOM CLOSE TO MANHATTAN,private room,Queens,Astoria
5147,8953200,Lolita,2019-06-21,55,"Queens, Astoria",CLASSIC BEDROOM CLOSE TO MANHATTAN,private room,Queens,Astoria
5148,8953404,Lolita,2019-06-20,55,"Queens, Astoria",LARGE BEDROOM CLOSE TO MANHATTAN,private room,Queens,Astoria
5149,8953625,Lolita,2019-06-23,48,"Queens, Astoria","PRIVATE, CLEAN, ROOM CLOSE TO MANH",private room,Queens,Astoria
5150,8954037,Lolita,2019-05-20,50,"Queens, Astoria",BIG NEW ROOM,private room,Queens,Astoria
5151,8955543,Liz And Cesar,2019-02-05,65,"Brooklyn, Prospect-Lefferts Gardens",Jewel On Parkside 2,private room,Brooklyn,Prospect-Lefferts Gardens
5152,8956253,Emmanoele,2019-06-24,95,"Brooklyn, Prospect-Lefferts Gardens",BRKLYN - Comfy & Chic private space,private room,Brooklyn,Prospect-Lefferts Gardens
5153,8957187,Tamara,2019-06-12,73,"Manhattan, Harlem",Lovely Room in Sunny & Modern Apartment,private room,Manhattan,Harlem
5154,8964008,Phuong,2019-06-20,55,"Manhattan, Midtown",Cozy Bed in Midtown Manhattan,shared room,Manhattan,Midtown
5155,8971258,Elizabeth,2019-06-30,169,"Brooklyn, Canarsie",Gorgeous Three Bedroom Split Level,entire home/apt,Brooklyn,Canarsie
5156,8972957,Jasmine,2019-06-14,150,"Brooklyn, Bedford-Stuyvesant","Artsy 3-Bdrm, 2 bath, Sleeps 10, 1 min from subway",entire home/apt,Brooklyn,Bedford-Stuyvesant
5157,8973873,Robin,2019-06-26,120,"Brooklyn, Clinton Hill",Sunny Loft in Clinton Hill,entire home/apt,Brooklyn,Clinton Hill
5158,8974316,Rajiv,2019-05-26,47,"Manhattan, Harlem","Great room in Upper Manhattan, New York!!!",private room,Manhattan,Harlem
5159,8975190,Sandy,2019-07-02,129,"Brooklyn, Sheepshead Bay",Fresh and great 2BR,entire home/apt,Brooklyn,Sheepshead Bay
5160,8975201,Sandy,2019-06-30,119,"Brooklyn, Sheepshead Bay",Great 2BR Apartment,entire home/apt,Brooklyn,Sheepshead Bay
5161,8985316,Maria,2019-05-31,100,"Manhattan, Upper East Side",Upper East close to the subway PERFECT LOCATION,entire home/apt,Manhattan,Upper East Side
5162,8989320,Maribel,2019-07-05,175,"Manhattan, Harlem",1 BEDROOM SUITE IN HARLEM FAMILY TOWNHOUSE,entire home/apt,Manhattan,Harlem
5164,8993871,Maya,2019-06-22,65,"Queens, Elmhurst","Sunny bedroom with balcony, Queens",private room,Queens,Elmhurst
5165,8993887,Michael,2019-06-23,42,"Brooklyn, Bedford-Stuyvesant",NYC.CHAUNCEY1 15.min to Manhattan.,private room,Brooklyn,Bedford-Stuyvesant
5166,8994025,Stefan,2019-03-10,40,"Brooklyn, Bedford-Stuyvesant",Sunny & Spacious Room w/ Private Bathroom,private room,Brooklyn,Bedford-Stuyvesant
5167,8994058,Lawanne,2019-07-01,60,"Brooklyn, East Flatbush",Brooklyn Bliss 1,private room,Brooklyn,East Flatbush
5168,8995042,Carlos,2019-02-28,50,"Brooklyn, Bedford-Stuyvesant",Private room in Brooklyn,private room,Brooklyn,Bedford-Stuyvesant
5169,8995426,Maria,2019-04-22,55,"Queens, Long Island City",Manhattan skyline Rm,private room,Queens,Long Island City
5170,9004946,Heather,2019-06-17,105,"Brooklyn, Bedford-Stuyvesant",One bedroom garden apartment.,entire home/apt,Brooklyn,Bedford-Stuyvesant
5171,9004969,Jillian,2019-06-23,150,"Manhattan, East Harlem",New and stylish NYC pad with skylight,entire home/apt,Manhattan,East Harlem
5172,9007591,Philip,2019-05-25,105,"Brooklyn, Park Slope",Lg Top Flr Rm Park Slope Brownstone,private room,Brooklyn,Park Slope
5173,9013280,Joel,2019-06-29,70,"Brooklyn, Bedford-Stuyvesant",Luxury studio Bedstuy Brooklyn,entire home/apt,Brooklyn,Bedford-Stuyvesant
5174,9013350,Deniz,2019-06-30,120,"Brooklyn, Clinton Hill",Sunny Clinton Hill Apartment,entire home/apt,Brooklyn,Clinton Hill
5175,9015649,Edlira,2019-05-28,125,"Manhattan, Morningside Heights",Charming duplex  Morningside Heights-Private Floor,private room,Manhattan,Morningside Heights
5176,9016650,Patrick,2019-06-17,170,"Manhattan, Upper East Side",Spacious 1 BR Apartment - Sleeps 4,entire home/apt,Manhattan,Upper East Side
5177,9022913,Sebastian,2019-07-02,249,"Brooklyn, Bedford-Stuyvesant","Stylish Townhouse, 2 large bedrooms + ensuite bths",private room,Brooklyn,Bedford-Stuyvesant
5178,9025565,Vida,2019-06-04,159,"Brooklyn, Greenpoint",Flex 2BR Loft ( 1br +Sleep Loft +Sofa Bed )!,entire home/apt,Brooklyn,Greenpoint
5179,9028493,Alisa,2019-06-09,90,"Brooklyn, Greenpoint","Charming & Spacious, 2 bedrooms in❤️of Greenpoint",private room,Brooklyn,Greenpoint
5180,9028589,Michelle,2019-06-21,305,"Manhattan, Gramercy",Gramercy & Madison Park CONDO 3 BED 2BATH,entire home/apt,Manhattan,Gramercy
5181,9029289,Paul,2019-06-02,88,"Manhattan, Upper West Side",Stylish Boutique Apt Close to Central Park,entire home/apt,Manhattan,Upper West Side
5182,9043652,Phil,2019-07-01,190,"Manhattan, SoHo",Great 1 bedroom apartment in the heart of soho,entire home/apt,Manhattan,SoHo
5183,9043905,Amy,2019-01-01,200,"Manhattan, Greenwich Village","Bright, Charming APT in West Village/SoHo",entire home/apt,Manhattan,Greenwich Village
5184,9045876,Mel,2019-06-29,175,"Manhattan, Harlem",BEAUTIFUL BROWNSTONE PARLOR FLOOR,entire home/apt,Manhattan,Harlem
5185,9046203,Alister,2019-06-11,130,"Brooklyn, Bedford-Stuyvesant",Large renovated 2 bedroom apt.,entire home/apt,Brooklyn,Bedford-Stuyvesant
5186,9047816,Allan (& Max),2019-06-29,100,"Queens, Long Island City",Beautiful Home 1 Stop from Midtown,private room,Queens,Long Island City
5187,9049607,Simone,2019-05-12,60,"Brooklyn, Williamsburg",Room In Central and Spacious Williamsburg Loft!,private room,Brooklyn,Williamsburg
5188,9050105,Babajide,2019-06-30,125,"Brooklyn, Prospect-Lefferts Gardens","Prospect Park 3 bedroom, Sleeps 8",entire home/apt,Brooklyn,Prospect-Lefferts Gardens
5189,9050373,Tatiana,2019-05-21,97,"Brooklyn, Flatbush",Peaceful & Colorful Brooklyn Oasis Near Park+Train,entire home/apt,Brooklyn,Flatbush
5190,9051437,Elizabeth,2019-06-10,140,"Brooklyn, Crown Heights","Bright, spacious and cozy",entire home/apt,Brooklyn,Crown Heights
5191,9051763,Mark,2019-05-29,57,"Brooklyn, Bedford-Stuyvesant","Room in 3BR Condo, FREE WASHER/DRYER",private room,Brooklyn,Bedford-Stuyvesant
5192,9061331,Michael Francis,2019-06-13,180,"Manhattan, Harlem",Sunny Harlem penthouse,entire home/apt,Manhattan,Harlem
5193,9062515,Brinn,2019-05-19,175,"Brooklyn, Greenpoint","Adorable, Artsy 1BR; Hip Location!",entire home/apt,Brooklyn,Greenpoint
5194,9064714,Sheila,2019-07-06,90,"Queens, Long Island City",1870's 3-story house private bedroom,private room,Queens,Long Island City
5195,9075249,Allison,2019-01-05,65,"Brooklyn, Clinton Hill",Spacious Ft. Greene room near subway/restaurants,private room,Brooklyn,Clinton Hill
5196,9077858,Alex,2019-03-20,27,"Brooklyn, East Flatbush",Beautiful shared apartment / Coliving in Brooklyn,shared room,Brooklyn,East Flatbush
5197,9078222,Babajide,2019-07-01,150,"Brooklyn, Prospect-Lefferts Gardens","Prospect Park 3 bdrm, Sleeps 8 (#2)",entire home/apt,Brooklyn,Prospect-Lefferts Gardens
5198,9079871,Jason,2019-06-23,165,"Brooklyn, East Flatbush",NYCHaven1: Entire House for less than a hotel room,entire home/apt,Brooklyn,East Flatbush
5199,9093219,Marie,2019-06-22,90,"Manhattan, Harlem",Serenity Space,private room,Manhattan,Harlem
5200,9096381,Marisa & Tom,2019-07-01,120,"Brooklyn, Bedford-Stuyvesant",Brownstone apt in historic Brooklyn,entire home/apt,Brooklyn,Bedford-Stuyvesant
5201,9104995,Nir,2019-05-31,125,"Manhattan, Hell's Kitchen",Times Square Area Neat & clean all inclusive AAA+,entire home/apt,Manhattan,Hell's Kitchen
5202,9107846,Lila,2019-07-01,75,"Manhattan, Upper West Side",UWS Lovely NYC Home - Private Entry&Bath,entire home/apt,Manhattan,Upper West Side
5203,9108196,Dlb,2019-01-29,34,"Queens, Laurelton",Cozy Room,private room,Queens,Laurelton
5204,9110135,Allie,2019-05-06,110,"Manhattan, East Harlem",Affordable stay in NYC,entire home/apt,Manhattan,East Harlem
5205,9112463,Jaclyn,2019-06-21,145,"Manhattan, Upper East Side","Cozy 1 bedroom, close to it all in Manhattan !",entire home/apt,Manhattan,Upper East Side
5206,9112676,Lizzy And Ryan,2019-06-30,250,"Manhattan, Upper West Side","!! CLASSIC, LUXURY & CHARM !! By Central Park UWS",entire home/apt,Manhattan,Upper West Side
5207,9113032,Missy & Julien,2019-06-29,145,"Brooklyn, Crown Heights",Large 1 Bedroom apartment in 1897 landmarked house,entire home/apt,Brooklyn,Crown Heights
5208,9116018,Sonskeshana,2019-04-18,65,"Manhattan, Harlem",Full-Sized Harlem Room with Style,private room,Manhattan,Harlem
5209,9116126,Dan,2019-06-04,199,"Manhattan, Upper West Side",Sunny Vibrant Historic 1 Bdrm Apt on CENTRAL PARK,entire home/apt,Manhattan,Upper West Side
5210,9116734,Laura,2019-06-23,55,"Brooklyn, Bedford-Stuyvesant","Large, fully renovated room in Brooklyn, Bed-Stuy!",private room,Brooklyn,Bedford-Stuyvesant
5211,9117817,Sha,2019-06-23,149,"Brooklyn, Bedford-Stuyvesant",CLASSY BROWNSTONE FOR UP TO 5!! Fee for extra beds,entire home/apt,Brooklyn,Bedford-Stuyvesant
5212,9121896,Maxime,2019-05-29,50,"Manhattan, Harlem",1 RED BEDROOM IN 3 BEDROOMS APT,private room,Manhattan,Harlem
5213,9127163,June,2019-06-02,79,"Queens, Holliswood",Quiet retreat- exclusive. Access NYC attractions.,private room,Queens,Holliswood
5215,9133278,Christine,2019-06-25,41,"Manhattan, Harlem",This Empty Nest is the Best!,private room,Manhattan,Harlem
5216,9133645,Ross,2019-06-22,220,"Manhattan, Chinatown",Whole floor apt in old 5 points,entire home/apt,Manhattan,Chinatown
5217,9138664,Iris,2019-05-26,74,"Queens, Sunnyside",Private Lg Room 15 min to Manhattan,private room,Queens,Sunnyside
5218,9140055,Rhemy,2019-07-07,49,"Brooklyn, Bedford-Stuyvesant",Room and Breakfast  -  Room 1,private room,Brooklyn,Bedford-Stuyvesant
5219,9145202,Dona,2019-07-05,47,"Queens, Jamaica",Room near JFK Queen Bed,private room,Queens,Jamaica
5220,9146595,Charlotte,2019-06-23,115,"Brooklyn, Bedford-Stuyvesant",Super cozy private 1 bedroom garden apartment,entire home/apt,Brooklyn,Bedford-Stuyvesant
5221,9147025,Diane,2019-07-01,110,"Bronx, City Island",Cozy City Island Cottage,entire home/apt,Bronx,City Island
5222,9147431,Philip,2019-05-20,125,"Brooklyn, Park Slope",Lge Rm Middle Park Slope Brownstone,private room,Brooklyn,Park Slope
5223,9148875,Diego,2019-06-25,150,"Manhattan, East Harlem",Lovely E. Harlem Brownstone PH,entire home/apt,Manhattan,East Harlem
5224,9149930,Host,2019-01-25,150,"Manhattan, West Village",Prime west village ~Charming 1BR,entire home/apt,Manhattan,West Village
5225,9150194,Jared,2019-06-12,79,"Brooklyn, Williamsburg",Sunny Private Room nr 4 Train Lines,private room,Brooklyn,Williamsburg
5226,9152795,Luciana,2019-06-27,120,"Brooklyn, Williamsburg",Studio Bedroom Apt in Williamsburg,entire home/apt,Brooklyn,Williamsburg
5227,9155206,Sha,2019-06-22,165,"Brooklyn, Bedford-Stuyvesant",2 BATHS & 2 BEDROOMS IN  PENTHOUSE!,entire home/apt,Brooklyn,Bedford-Stuyvesant
5228,9155212,Lydia,2019-01-02,85,"Manhattan, East Village",Affordable & Cozy East Village Room,private room,Manhattan,East Village
5229,9156676,Masud,2019-06-24,90,"Brooklyn, Cypress Hills",2 Bedrooms 100% Private,entire home/apt,Brooklyn,Cypress Hills
5230,9165191,Hayet,2019-05-26,40,"Brooklyn, Bedford-Stuyvesant",Sunny Garden Facing Bedroom,private room,Brooklyn,Bedford-Stuyvesant
5231,9167889,Michael,2019-07-04,130,"Manhattan, Harlem",A Unique studio apartment,entire home/apt,Manhattan,Harlem
5232,9170129,Lorena,2019-06-23,249,"Manhattan, Harlem",New Apt -2 Blocks CENTRAL PARK Near COLUMBIA UNIV,entire home/apt,Manhattan,Harlem
5233,9175459,Shawn,2019-06-26,180,"Manhattan, Chelsea","Location, Location, Location Meat Packing District",entire home/apt,Manhattan,Chelsea
5234,9178165,D. Christopher,2019-06-23,80,"Manhattan, Harlem",Great Space..  Central Park Area!,private room,Manhattan,Harlem
5235,9181483,Jhovana,2019-06-27,90,"Manhattan, East Village",My Casa Ur Home Away From Home,private room,Manhattan,East Village
5236,9185329,Merrily,2019-06-21,108,"Brooklyn, Greenpoint","Sunny, Spacious, Botanical Greenpoint 1 Bdrm",entire home/apt,Brooklyn,Greenpoint
5237,9185696,Harman,2019-05-25,75,"Queens, Queens Village",Excellent 1 Bedroom Apt. in Queens,entire home/apt,Queens,Queens Village
5238,9187379,John,2019-04-21,50,"Queens, Forest Hills","The room .  25 min to time square, Midway LGA/JFK",private room,Queens,Forest Hills
5239,9199020,Priscilla,2019-05-24,35,"Manhattan, Washington Heights",COMFY SOFA BED IN MY 1 BEDROOM APT!,shared room,Manhattan,Washington Heights
5240,9215307,Scott,2019-06-09,90,"Brooklyn, Williamsburg",Beautiful Room: Charming Apt Central Williamsburg,private room,Brooklyn,Williamsburg
5241,9217592,Camillia,2019-06-17,145,"Brooklyn, Clinton Hill",Charming + Spacious Brownstone Apt,entire home/apt,Brooklyn,Clinton Hill
5242,9217837,Aaron,2019-05-01,150,"Brooklyn, South Slope",Quaint South Slope Retreat,entire home/apt,Brooklyn,South Slope
5243,9222165,Ys,2019-06-30,400,"Manhattan, Upper East Side",Upscale 3 Bedrooms + 2 Bath Apt +Washer/Dryer,entire home/apt,Manhattan,Upper East Side
5244,9227929,Sean,2019-07-05,201,"Manhattan, Harlem",Manhattan Townhome Garden Apartment,entire home/apt,Manhattan,Harlem
5245,9230738,Romain,2019-04-21,185,"Manhattan, Upper West Side",Charming 1-bed apt w/ private deck,entire home/apt,Manhattan,Upper West Side
5246,9232861,Tny,2019-05-01,132,"Manhattan, Midtown",Midtown East Modern Alcove Studio 5,entire home/apt,Manhattan,Midtown
5247,9237147,Fritz,2019-05-27,300,"Manhattan, Hell's Kitchen",2 BR in Theater Dist./Times Square,entire home/apt,Manhattan,Hell's Kitchen
5248,9238214,Nelson,2019-04-25,39,"Queens, Astoria",Sublet Cozy Spacious Private Room near Manhattan,private room,Queens,Astoria
5249,9238515,Gonzalo,2019-01-25,20,"Queens, Flushing",Cozy studio just off Main Street,shared room,Queens,Flushing
5250,9240067,Elena,2019-06-23,170,"Manhattan, Upper East Side",Cozy studio on the Upper East Side!,entire home/apt,Manhattan,Upper East Side
5251,9240346,Carol,2019-06-23,120,"Manhattan, Gramercy",Charming Union Sq Studio w/Elevator,entire home/apt,Manhattan,Gramercy
5252,9241956,Millie,2019-06-28,177,"Manhattan, Hell's Kitchen",The New Downtown* 1 bdrm,entire home/apt,Manhattan,Hell's Kitchen
5253,9242243,Sworupa,2019-06-06,180,"Manhattan, Midtown",Cozy 1bdrm apt in Midtown Manhattan,private room,Manhattan,Midtown
5254,9248049,Nina,2019-07-05,165,"Manhattan, Hell's Kitchen",NYC Fantastic Apartment (very quiet &private bath),private room,Manhattan,Hell's Kitchen
5255,9253823,Katja,2019-06-15,250,"Manhattan, Upper West Side",Spacious 2BR (4 rooms) in the Upper West Side,entire home/apt,Manhattan,Upper West Side
5256,9253827,Mathew,2019-06-30,125,"Brooklyn, Williamsburg",Close to train - Williamsburg Garden Apartment,entire home/apt,Brooklyn,Williamsburg
5257,9255049,Jessica,2019-05-14,150,"Brooklyn, Bushwick","Designy, cozy, & kid friendly!",entire home/apt,Brooklyn,Bushwick
5258,9256750,Elene,2019-05-27,50,"Brooklyn, Bushwick",Sunny bedroom with backyard (L Jefferson),private room,Brooklyn,Bushwick
5259,9260415,Julia,2019-05-20,47,"Bronx, Pelham Gardens",Comfy Room Near Bronx Zoo and NYBG!,private room,Bronx,Pelham Gardens
5260,9260911,Em,2019-06-22,299,"Manhattan, East Village",Luxury Apt in EV - 2 Spacious BR + 2 Full Bath!!,entire home/apt,Manhattan,East Village
5261,9261392,K,2019-06-01,88,"Queens, Sunnyside",Modern Lux APT Private Bath 15 min to Times Sq,private room,Queens,Sunnyside
5262,9269126,Fabiola,2019-05-03,169,"Manhattan, Hell's Kitchen",Cleanest times square room,private room,Manhattan,Hell's Kitchen
5263,9269191,Ben,2019-06-16,110,"Brooklyn, Bedford-Stuyvesant",Beautiful Private Parlor-Level 1-BR Apt.,entire home/apt,Brooklyn,Bedford-Stuyvesant
5264,9271742,Ben,2019-07-04,110,"Brooklyn, Bedford-Stuyvesant",Spacious Private Ground Floor Studio Apt.,entire home/apt,Brooklyn,Bedford-Stuyvesant
5265,9276587,Jeff,2019-06-14,150,"Manhattan, Hell's Kitchen",Convenient Hell's Kitchen 1br/2-4pp,entire home/apt,Manhattan,Hell's Kitchen
5267,9278192,Carlos,2019-06-21,58,"Queens, Elmhurst",*LARGE PRIVATE ROOM WITH A LARGE WINDOW*,private room,Queens,Elmhurst
5268,9281747,Joey,2019-06-27,135,"Manhattan, Hell's Kitchen",TIMES SQ BLCK AWAY w/ SUNNY BDRM. NO INSTANT BOOKN,private room,Manhattan,Hell's Kitchen
5269,9282443,Anna,2019-04-23,250,"Manhattan, Lower East Side","HUGE Artist's 1 bedroom LOFT, Lower East Side.",entire home/apt,Manhattan,Lower East Side
5270,9289159,Tanya,2019-06-29,465,"Manhattan, Harlem","Beautiful 5bedrm duplex,   sleeps 11 comfortably!",entire home/apt,Manhattan,Harlem
5271,9301647,Christina,2019-06-29,70,"Manhattan, Midtown",Semi-Private Space in Prime Midtown East,private room,Manhattan,Midtown
5272,9310390,Ben,2019-06-23,375,"Manhattan, East Village",Chic East Village 2BR,entire home/apt,Manhattan,East Village
5273,9310959,Ashley,2019-06-28,75,"Brooklyn, Crown Heights","Cozy, 1 bedroom Brownstone Apt",entire home/apt,Brooklyn,Crown Heights
5274,9325979,Mo,2019-06-23,190,"Manhattan, Chinatown",Gorgeous Loft in the LES/Chinatown!,entire home/apt,Manhattan,Chinatown
5275,9328355,Janice,2019-06-22,72,"Brooklyn, Bedford-Stuyvesant",Stylish and Comfy in Bed Stuy,entire home/apt,Brooklyn,Bedford-Stuyvesant
