id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
1496,Friday,UNITED,DEST_496,EAST US,Small     ,Gates 40-48,2018-12-31,487.1,Unacceptable,Somewhat safe,Somewhat unsatisfied
1497,Sunday,AMERICAN,DEST_497,middle east,    Hub,Gates 91-102,2018-12-31,377.7,Unacceptable,Very unsafe,Neutral
1498,Saturday,ALASKA,DEST_498,Australia/New Zealand,    Small,Gates 20-39,2018-12-31,525.1,Somewhat clean,Very safe,Neutral
1499,Tuesday,ALASKA,DEST_499,middle east,Large     ,Gates 70-90,2018-12-31,463.6,Somewhat clean,Very unsafe,Very unsatisfied
1500,Tuesday,ALASKA,DEST_500,East US,    Hub,Gates 70-90,2018-12-31,516.8,Dirty,Very safe,Very satisfied
1501,Thursday,AMERICAN,DEST_501,Australia/New Zealand,Medium,Gates 1-12,2018-12-31,137.5,Clean,Neutral,Somewhat satisfied
1502,Monday,UNITED INTL,DEST_502,Asia,Hub,Gates 40-48,2018-12-31,164.6,Clean,Neutral,Very satisfied
1503,Monday,SOUTHWEST,DEST_503,middle east,Hub,Gates 70-90,2018-12-31,306.1,Somewhat dirty,Somewhat unsafe,Somewhat satisfied
1504,Tuesday,JETBLUE,DEST_504,Asia,Hub,Gates 91-102,2018-12-31,356.4,Clean,Somewhat safe,Very unsatisfied
1505,Friday,CHINA EASTERN,DEST_505,West US,Medium     ,Gates 40-48,2018-12-31,198.1,Somewhat clean,Very unsafe,Neutral
1506,Sunday,DELTA,DEST_506,middle east,Hub,Gates 20-39,2018-12-31,339.7,Clean,Somewhat safe,Very satisfied
1507,Sunday,SOUTHWEST,DEST_507,Europe,Large,Gates 20-39,2018-12-31,201.9,Unacceptable,Somewhat safe,Somewhat satisfied
1508,Thursday,AMERICAN,DEST_508,Europe,Large,Gates 1-12,2018-12-31,54.6,Unacceptable,Somewhat unsafe,Very unsatisfied
1509,Tuesday,UNITED,DEST_509,Canada/Mexico,Hub,Gates 20-39,2018-12-31,218.8,Dirty,Somewhat unsafe,Somewhat unsatisfied
1510,Sunday,AMERICAN,DEST_510,middle east,    Medium,Gates 91-102,2018-12-31,222.8,Somewhat dirty,Very safe,Somewhat satisfied
1511,Wednesday,AMERICAN,DEST_511,Europe,Medium     ,Gates 50-59,2018-12-31,563.5,Somewhat clean,Somewhat unsafe,Very satisfied
1512,Friday,UNITED INTL,DEST_512,middle east,Hub     ,Gates 91-102,2018-12-31,122.1,Average,Somewhat safe,Very satisfied
1513,Tuesday,UNITED,DEST_513,Midwest US,Large     ,Gates 70-90,2018-12-31,398.5,Unacceptable,Somewhat safe,Neutral
1514,Thursday,SOUTHWEST,DEST_514,Central/South America,Small     ,Gates 91-102,2018-12-31,537.1,Clean,Very unsafe,Very unsatisfied
1515,Friday,CHINA EASTERN,DEST_515,Midwest US,Medium     ,Gates 40-48,2018-12-31,542.4,Somewhat clean,Very safe,Somewhat satisfied
1516,Tuesday,CHINA EASTERN,DEST_516,East US,    Medium,Gates 40-48,2018-12-31,296.2,Dirty,Neutral,Neutral
1517,Tuesday,JETBLUE,DEST_517,Midwest US,    Large,Gates 40-48,2018-12-31,466.5,Average,Very unsafe,Very unsatisfied
1518,Monday,ALASKA,DEST_518,Europe,Medium,Gates 1-12,2018-12-31,446.9,Somewhat dirty,Somewhat safe,Very unsatisfied
1519,Sunday,UNITED INTL,DEST_519,middle east,Hub,Gates 20-39,2018-12-31,398.6,Somewhat dirty,Very unsafe,Somewhat unsatisfied
1520,Tuesday,ALASKA,DEST_520,EAST US,    Small,Gates 50-59,2018-12-31,235.2,Average,Very unsafe,Somewhat unsatisfied
1521,Saturday,SOUTHWEST,DEST_521,Australia/New Zealand,Hub,Gates 70-90,2018-12-31,354.3,Clean,Somewhat safe,Very unsatisfied
1522,Monday,SOUTHWEST,DEST_522,Central/South America,Medium     ,Gates 20-39,2018-12-31,330.9,Dirty,Very unsafe,Neutral
1523,Monday,CHINA EASTERN,DEST_523,Middle East,    Small,Gates 50-59,2018-12-31,258.0,Somewhat clean,Very unsafe,Very satisfied
1524,Saturday,ALASKA,DEST_524,West US,Hub,Gates 70-90,2018-12-31,118.9,Somewhat clean,Very unsafe,Somewhat unsatisfied
1525,Monday,AMERICAN,DEST_525,Central/South America,Medium     ,Gates 70-90,2018-12-31,89.0,Somewhat clean,Somewhat unsafe,Somewhat satisfied
1526,Sunday,UNITED INTL,DEST_526,Asia,    Small,Gates 20-39,2018-12-31,587.7,Clean,Somewhat unsafe,Very unsatisfied
1527,Thursday,UNITED,DEST_527,eur,    Small,Gates 20-39,2018-12-31,259.1,Average,Very unsafe,Very unsatisfied
1528,Saturday,DELTA,DEST_528,eur,    Large,Gates 20-39,2018-12-31,342.0,Average,Somewhat safe,Neutral
1529,Friday,UNITED INTL,DEST_529,Canada/Mexico,Medium,Gates 50-59,2018-12-31,202.7,Somewhat dirty,Neutral,Somewhat unsatisfied
1530,Monday,UNITED INTL,DEST_530,East US,Medium,Gates 50-59,2018-12-31,517.5,Average,Very safe,Very satisfied
1531,Wednesday,AMERICAN,DEST_531,Central/South America,    Hub,Gates 1-12,2018-12-31,236.7,Somewhat dirty,Somewhat unsafe,Very unsatisfied
1532,Saturday,ALASKA,DEST_532,Middle East,    Small,Gates 20-39,2018-12-31,384.6,Somewhat dirty,Very unsafe,Somewhat satisfied
1533,Sunday,SOUTHWEST,DEST_533,Asia,    Hub,Gates 70-90,2018-12-31,106.1,Dirty,Somewhat safe,Very satisfied
1534,Wednesday,UNITED,DEST_534,West US,Medium,Gates 20-39,2018-12-31,277.0,Somewhat clean,Very unsafe,Somewhat satisfied
1535,Monday,ALASKA,DEST_535,Australia/New Zealand,Hub     ,Gates 40-48,2018-12-31,364.1,Somewhat dirty,Very unsafe,Somewhat satisfied
1536,Tuesday,UNITED INTL,DEST_536,Midwest US,Large     ,Gates 40-48,2018-12-31,277.2,Clean,Somewhat safe,Very unsatisfied
1537,Wednesday,AMERICAN,DEST_537,Midwest US,    Medium,Gates 20-39,2018-12-31,502.0,Average,Neutral,Very unsatisfied
1538,Sunday,JETBLUE,DEST_538,eur,Large     ,Gates 40-48,2018-12-31,153.8,Somewhat clean,Somewhat unsafe,Neutral
1539,Wednesday,UNITED INTL,DEST_539,Asia,Medium     ,Gates 1-12,2018-12-31,428.8,Average,Neutral,Very satisfied
1540,Tuesday,DELTA,DEST_540,Europe,Large     ,Gates 91-102,2018-12-31,556.8,Unacceptable,Neutral,Very unsatisfied
1541,Sunday,UNITED INTL,DEST_541,Australia/New Zealand,Medium,Gates 40-48,2018-12-31,246.2,Dirty,Neutral,Neutral
1542,Tuesday,AMERICAN,DEST_542,eur,Medium     ,Gates 40-48,2018-12-31,195.8,Somewhat dirty,Somewhat safe,Neutral
1543,Tuesday,ALASKA,DEST_543,Europe,Small     ,Gates 70-90,2018-12-31,362.0,Average,Very unsafe,Neutral
1544,Tuesday,AMERICAN,DEST_544,East US,Small     ,Gates 70-90,2018-12-31,211.4,Clean,Neutral,Neutral
1545,Saturday,UNITED,DEST_545,West US,Medium     ,Gates 40-48,2018-12-31,108.1,Unacceptable,Somewhat safe,Very unsatisfied
1546,Friday,ALASKA,DEST_546,Asia,Small,Gates 1-12,2018-12-31,289.9,Average,Somewhat unsafe,Somewhat satisfied
1547,Wednesday,ALASKA,DEST_547,middle east,Medium,Gates 40-48,2018-12-31,464.2,Clean,Somewhat safe,Somewhat unsatisfied
1548,Tuesday,ALASKA,DEST_548,Canada/Mexico,    Large,Gates 50-59,2018-12-31,364.6,Unacceptable,Very unsafe,Somewhat unsatisfied
1549,Wednesday,DELTA,DEST_549,East US,Small,Gates 91-102,2018-12-31,317.6,Unacceptable,Somewhat unsafe,Somewhat unsatisfied
1550,Friday,AMERICAN,DEST_550,Canada/Mexico,    Hub,Gates 20-39,2018-12-31,145.9,Unacceptable,Very unsafe,Somewhat unsatisfied
1551,Thursday,JETBLUE,DEST_551,East US,Medium,Gates 1-12,2018-12-31,174.3,Clean,Very safe,Somewhat satisfied
1552,Monday,DELTA,DEST_552,East US,Small     ,Gates 70-90,2018-12-31,592.7,Somewhat dirty,Very safe,Somewhat unsatisfied
1553,Thursday,SOUTHWEST,DEST_553,East US,Large,Gates 70-90,2018-12-31,268.9,Clean,Very unsafe,Very satisfied
1554,Tuesday,DELTA,DEST_554,middle east,    Small,Gates 70-90,2018-12-31,228.5,Clean,Very unsafe,Very satisfied
1555,Friday,UNITED,DEST_555,eur,Large     ,Gates 91-102,2018-12-31,485.9,Somewhat clean,Somewhat unsafe,Somewhat satisfied
1556,Thursday,JETBLUE,DEST_556,Midwest US,Hub,Gates 91-102,2018-12-31,494.7,Somewhat clean,Very unsafe,Somewhat unsatisfied
1557,Thursday,CHINA EASTERN,DEST_557,Europe,Hub     ,Gates 20-39,2018-12-31,137.7,Average,Very unsafe,Somewhat unsatisfied
1558,Wednesday,DELTA,DEST_558,Central/South America,    Medium,Gates 91-102,2018-12-31,402.9,Dirty,Somewhat unsafe,Neutral
1559,Monday,ALASKA,DEST_559,West US,Small,Gates 50-59,2018-12-31,368.0,Dirty,Very unsafe,Very unsatisfied
1560,Wednesday,JETBLUE,DEST_560,Canada/Mexico,Medium,Gates 1-12,2018-12-31,196.9,Average,Neutral,Somewhat unsatisfied
1561,Sunday,DELTA,DEST_561,Middle East,Large,Gates 20-39,2018-12-31,520.9,Dirty,Neutral,Somewhat unsatisfied
1562,Saturday,DELTA,DEST_562,Middle East,Large,Gates 20-39,2018-12-31,596.0,Unacceptable,Very unsafe,Somewhat unsatisfied
1563,Thursday,ALASKA,DEST_563,Middle East,Hub     ,Gates 40-48,2018-12-31,410.5,Clean,Very safe,Neutral
1564,Saturday,UNITED INTL,DEST_564,middle east,    Medium,Gates 20-39,2018-12-31,531.2,Somewhat dirty,Very unsafe,Neutral
1565,Tuesday,DELTA,DEST_565,Middle East,Large,Gates 50-59,2018-12-31,389.4,Somewhat clean,Very unsafe,Very unsatisfied
1566,Tuesday,DELTA,DEST_566,Europe,    Medium,Gates 91-102,2018-12-31,465.5,Somewhat dirty,Very unsafe,Somewhat unsatisfied
1567,Sunday,DELTA,DEST_567,EAST US,Large     ,Gates 50-59,2018-12-31,139.7,Dirty,Somewhat safe,Somewhat unsatisfied
1568,Wednesday,DELTA,DEST_568,Middle East,    Small,Gates 40-48,2018-12-31,242.2,Somewhat clean,Somewhat unsafe,Very unsatisfied
1569,Tuesday,AMERICAN,DEST_569,Asia,    Small,Gates 70-90,2018-12-31,596.0,Somewhat clean,Very unsafe,Very unsatisfied
1570,Friday,CHINA EASTERN,DEST_570,Canada/Mexico,Medium     ,Gates 20-39,2018-12-31,122.5,Unacceptable,Very unsafe,Neutral
1571,Sunday,SOUTHWEST,DEST_571,Central/South America,    Large,Gates 91-102,2018-12-31,52.5,Somewhat clean,Somewhat unsafe,Very unsatisfied
1572,Sunday,DELTA,DEST_572,Central/South America,Small,Gates 91-102,2018-12-31,231.4,Somewhat clean,Very safe,Very unsatisfied
1573,Tuesday,UNITED INTL,DEST_573,East US,Medium     ,Gates 1-12,2018-12-31,145.5,Somewhat dirty,Somewhat unsafe,Somewhat satisfied
1574,Saturday,AMERICAN,DEST_574,East US,Medium     ,Gates 1-12,2018-12-31,241.7,Average,Very unsafe,Somewhat unsatisfied
1575,Monday,UNITED INTL,DEST_575,Central/South America,Medium     ,Gates 1-12,2018-12-31,379.4,Somewhat clean,Very safe,Somewhat unsatisfied
1576,Saturday,UNITED INTL,DEST_576,West US,    Medium,Gates 91-102,2018-12-31,338.2,Clean,Somewhat unsafe,Somewhat satisfied
1577,Sunday,ALASKA,DEST_577,Canada/Mexico,    Hub,Gates 70-90,2018-12-31,167.3,Average,Very safe,Neutral
1578,Monday,JETBLUE,DEST_578,Asia,Small     ,Gates 50-59,2018-12-31,571.3,Somewhat dirty,Somewhat unsafe,Very unsatisfied
1579,Monday,UNITED,DEST_579,Canada/Mexico,Large,Gates 50-59,2018-12-31,593.2,Average,Somewhat unsafe,Very satisfied
1580,Friday,ALASKA,DEST_580,middle east,Large     ,Gates 70-90,2018-12-31,386.3,Somewhat clean,Somewhat unsafe,Somewhat satisfied
1581,Saturday,SOUTHWEST,DEST_581,Canada/Mexico,Small     ,Gates 50-59,2018-12-31,259.3,Unacceptable,Somewhat safe,Somewhat unsatisfied
1582,Saturday,UNITED INTL,DEST_582,Asia,Large,Gates 1-12,2018-12-31,46.2,Clean,Very safe,Very unsatisfied
1583,Thursday,SOUTHWEST,DEST_583,West US,    Medium,Gates 50-59,2018-12-31,347.0,Somewhat dirty,Very safe,Neutral
1584,Friday,DELTA,DEST_584,Asia,Large     ,Gates 40-48,2018-12-31,112.2,Average,Neutral,Very unsatisfied
1585,Thursday,ALASKA,DEST_585,Asia,Small,Gates 40-48,2018-12-31,457.3,Unacceptable,Somewhat safe,Somewhat unsatisfied
1586,Sunday,CHINA EASTERN,DEST_586,West US,    Medium,Gates 1-12,2018-12-31,383.5,Unacceptable,Very safe,Neutral
1587,Thursday,UNITED,DEST_587,eur,Large     ,Gates 1-12,2018-12-31,140.2,Somewhat dirty,Very safe,Very unsatisfied
1588,Wednesday,UNITED INTL,DEST_588,East US,    Small,Gates 50-59,2018-12-31,244.6,Dirty,Somewhat safe,Neutral
1589,Wednesday,AMERICAN,DEST_589,Asia,    Large,Gates 1-12,2018-12-31,473.0,Clean,Very unsafe,Somewhat unsatisfied
1590,Saturday,DELTA,DEST_590,middle east,Medium     ,Gates 91-102,2018-12-31,547.9,Average,Neutral,Somewhat satisfied
1591,Monday,JETBLUE,DEST_591,Central/South America,    Hub,Gates 70-90,2018-12-31,405.5,Somewhat clean,Very unsafe,Very unsatisfied
1592,Monday,SOUTHWEST,DEST_592,middle east,    Medium,Gates 20-39,2018-12-31,126.9,Somewhat clean,Neutral,Somewhat satisfied
1593,Saturday,AMERICAN,DEST_593,Canada/Mexico,Hub     ,Gates 70-90,2018-12-31,498.0,Clean,Neutral,Very satisfied
1594,Thursday,SOUTHWEST,DEST_594,middle east,    Hub,Gates 40-48,2018-12-31,491.7,Somewhat clean,Very unsafe,Somewhat unsatisfied
1595,Tuesday,SOUTHWEST,DEST_595,EAST US,    Hub,Gates 1-12,2018-12-31,110.2,Somewhat clean,Somewhat unsafe,Very satisfied
1596,Wednesday,SOUTHWEST,DEST_596,West US,Hub,Gates 40-48,2018-12-31,600.0,Average,Very unsafe,Somewhat satisfied
1597,Sunday,JETBLUE,DEST_597,middle east,    Small,Gates 20-39,2018-12-31,285.3,Dirty,Very unsafe,Very unsatisfied
1598,Saturday,AMERICAN,DEST_598,Central/South America,Hub     ,Gates 50-59,2018-12-31,183.7,Unacceptable,Somewhat unsafe,Somewhat satisfied
1599,Tuesday,JETBLUE,DEST_599,Australia/New Zealand,Hub     ,Gates 91-102,2018-12-31,177.6,Somewhat dirty,Very safe,Somewhat unsatisfied
1600,Monday,CHINA EASTERN,DEST_600,eur,    Large,Gates 1-12,2018-12-31,569.2,Dirty,Neutral,Very satisfied
1601,Tuesday,UNITED,DEST_601,Australia/New Zealand,Large,Gates 70-90,2018-12-31,512.8,Somewhat clean,Somewhat unsafe,Very unsatisfied
1602,Sunday,CHINA EASTERN,DEST_602,Australia/New Zealand,    Small,Gates 20-39,2018-12-31,562.5,Unacceptable,Somewhat unsafe,Somewhat unsatisfied
1603,Monday,AMERICAN,DEST_603,East US,Hub,Gates 20-39,2018-12-31,591.5,Dirty,Very unsafe,Somewhat satisfied
1604,Friday,JETBLUE,DEST_604,Asia,    Medium,Gates 50-59,2018-12-31,163.3,Somewhat dirty,Somewhat unsafe,Somewhat satisfied
1605,Monday,ALASKA,DEST_605,Middle East,Large,Gates 91-102,2018-12-31,156.1,Clean,Somewhat unsafe,Somewhat satisfied
1606,Wednesday,ALASKA,DEST_606,EAST US,Large     ,Gates 20-39,2018-12-31,338.6,Dirty,Very safe,Very unsatisfied
1607,Sunday,CHINA EASTERN,DEST_607,Middle East,Medium,Gates 91-102,2018-12-31,177.2,Average,Somewhat unsafe,Very unsatisfied
1608,Thursday,SOUTHWEST,DEST_608,West US,    Hub,Gates 40-48,2018-12-31,494.5,Somewhat clean,Neutral,Very unsatisfied
1609,Thursday,DELTA,DEST_609,Middle East,Medium,Gates 91-102,2018-12-31,257.6,Unacceptable,Somewhat safe,Somewhat unsatisfied
1610,Saturday,SOUTHWEST,DEST_610,Central/South America,Small,Gates 1-12,2018-12-31,484.1,Unacceptable,Somewhat safe,Very satisfied
1611,Friday,ALASKA,DEST_611,West US,Large,Gates 1-12,2018-12-31,174.2,Somewhat dirty,Somewhat safe,Very unsatisfied
1612,Sunday,ALASKA,DEST_612,Europe,Medium,Gates 50-59,2018-12-31,46.0,Unacceptable,Somewhat unsafe,Somewhat unsatisfied
1613,Thursday,AMERICAN,DEST_613,Asia,Small     ,Gates 40-48,2018-12-31,49.5,Somewhat dirty,Very safe,Very unsatisfied
1614,Monday,AMERICAN,DEST_614,Central/South America,    Small,Gates 40-48,2018-12-31,594.9,Dirty,Somewhat safe,Neutral
1615,Sunday,DELTA,DEST_615,Asia,    Hub,Gates 20-39,2018-12-31,378.7,Dirty,Neutral,Somewhat unsatisfied
1616,Wednesday,DELTA,DEST_616,middle east,Large     ,Gates 91-102,2018-12-31,136.8,Average,Somewhat unsafe,Very satisfied
1617,Wednesday,AMERICAN,DEST_617,Midwest US,Small,Gates 1-12,2018-12-31,224.9,Clean,Very unsafe,Somewhat satisfied
1618,Monday,AMERICAN,DEST_618,eur,    Hub,Gates 40-48,2018-12-31,506.6,Clean,Neutral,Somewhat satisfied
1619,Thursday,DELTA,DEST_619,Middle East,Large     ,Gates 50-59,2018-12-31,282.9,Average,Very safe,Neutral
1620,Wednesday,UNITED INTL,DEST_620,eur,    Medium,Gates 40-48,2018-12-31,435.7,Dirty,Very safe,Somewhat satisfied
1621,Thursday,AMERICAN,DEST_621,eur,Small,Gates 40-48,2018-12-31,219.4,Somewhat clean,Very unsafe,Somewhat satisfied
1622,Saturday,DELTA,DEST_622,West US,Small,Gates 70-90,2018-12-31,81.7,Somewhat dirty,Very unsafe,Very unsatisfied
1623,Friday,AMERICAN,DEST_623,Asia,    Small,Gates 50-59,2018-12-31,471.6,Somewhat dirty,Neutral,Very unsatisfied
1624,Thursday,SOUTHWEST,DEST_624,Midwest US,Large     ,Gates 1-12,2018-12-31,262.1,Somewhat clean,Very safe,Neutral
1625,Thursday,JETBLUE,DEST_625,East US,Small,Gates 50-59,2018-12-31,537.2,Average,Neutral,Neutral
1626,Friday,UNITED,DEST_626,Middle East,Medium,Gates 1-12,2018-12-31,415.5,Dirty,Somewhat unsafe,Very satisfied
1627,Sunday,JETBLUE,DEST_627,East US,    Large,Gates 70-90,2018-12-31,458.0,Unacceptable,Very safe,Very unsatisfied
1628,Wednesday,DELTA,DEST_628,Canada/Mexico,Large     ,Gates 50-59,2018-12-31,274.9,Somewhat clean,Neutral,Somewhat satisfied
1629,Wednesday,JETBLUE,DEST_629,eur,Hub,Gates 1-12,2018-12-31,248.6,Unacceptable,Neutral,Very satisfied
1630,Sunday,UNITED INTL,DEST_630,Canada/Mexico,Small     ,Gates 20-39,2018-12-31,391.4,Average,Somewhat unsafe,Neutral
1631,Monday,CHINA EASTERN,DEST_631,Midwest US,Hub,Gates 20-39,2018-12-31,78.0,Unacceptable,Somewhat unsafe,Very satisfied
1632,Saturday,UNITED INTL,DEST_632,eur,Hub     ,Gates 70-90,2018-12-31,263.2,Somewhat clean,Neutral,Somewhat unsatisfied
1633,Wednesday,UNITED INTL,DEST_633,middle east,Hub     ,Gates 50-59,2018-12-31,361.4,Unacceptable,Neutral,Somewhat satisfied
1634,Thursday,CHINA EASTERN,DEST_634,Central/South America,Large,Gates 20-39,2018-12-31,187.4,Average,Very safe,Neutral
1635,Wednesday,AMERICAN,DEST_635,Australia/New Zealand,Large     ,Gates 40-48,2018-12-31,266.5,Somewhat dirty,Neutral,Neutral
1636,Tuesday,DELTA,DEST_636,eur,Large,Gates 40-48,2018-12-31,222.0,Unacceptable,Neutral,Somewhat satisfied
1637,Tuesday,UNITED,DEST_637,Australia/New Zealand,Large,Gates 50-59,2018-12-31,506.9,Unacceptable,Somewhat unsafe,Neutral
1638,Thursday,CHINA EASTERN,DEST_638,eur,Hub     ,Gates 91-102,2018-12-31,571.5,Somewhat clean,Very safe,Very unsatisfied
1639,Thursday,AMERICAN,DEST_639,middle east,Medium,Gates 70-90,2018-12-31,417.5,Somewhat dirty,Neutral,Neutral
1640,Saturday,CHINA EASTERN,DEST_640,Middle East,    Large,Gates 1-12,2018-12-31,341.3,Average,Very unsafe,Very satisfied
1641,Friday,CHINA EASTERN,DEST_641,Midwest US,Hub,Gates 20-39,2018-12-31,45.3,Somewhat clean,Neutral,Very unsatisfied
1642,Sunday,UNITED,DEST_642,Europe,    Small,Gates 91-102,2018-12-31,412.8,Dirty,Neutral,Very satisfied
1643,Wednesday,UNITED INTL,DEST_643,Australia/New Zealand,Small     ,Gates 1-12,2018-12-31,532.3,Somewhat dirty,Somewhat unsafe,Somewhat unsatisfied
1644,Sunday,DELTA,DEST_644,Australia/New Zealand,Small,Gates 40-48,2018-12-31,579.6,Average,Somewhat safe,Somewhat satisfied
1645,Wednesday,JETBLUE,DEST_645,Canada/Mexico,Medium,Gates 1-12,2018-12-31,498.7,Unacceptable,Somewhat safe,Neutral
1646,Wednesday,CHINA EASTERN,DEST_646,Canada/Mexico,Large     ,Gates 1-12,2018-12-31,456.0,Somewhat dirty,Somewhat safe,Somewhat unsatisfied
1647,Friday,DELTA,DEST_647,Midwest US,    Medium,Gates 70-90,2018-12-31,596.5,Somewhat dirty,Somewhat safe,Very satisfied
1648,Sunday,AMERICAN,DEST_648,Middle East,Small     ,Gates 91-102,2018-12-31,284.7,Unacceptable,Somewhat safe,Somewhat unsatisfied
1649,Monday,CHINA EASTERN,DEST_649,Central/South America,Large     ,Gates 40-48,2018-12-31,366.9,Somewhat clean,Very safe,Neutral
1650,Wednesday,UNITED INTL,DEST_650,Central/South America,    Hub,Gates 1-12,2018-12-31,345.7,Unacceptable,Somewhat safe,Somewhat satisfied
1651,Monday,SOUTHWEST,DEST_651,West US,Large     ,Gates 1-12,2018-12-31,508.2,Unacceptable,Very unsafe,Very satisfied
1652,Tuesday,ALASKA,DEST_652,Canada/Mexico,Large     ,Gates 91-102,2018-12-31,231.5,Dirty,Somewhat unsafe,Neutral
1653,Thursday,CHINA EASTERN,DEST_653,Canada/Mexico,Large,Gates 1-12,2018-12-31,508.3,Unacceptable,Very unsafe,Very satisfied
1654,Thursday,JETBLUE,DEST_654,West US,Medium     ,Gates 50-59,2018-12-31,193.8,Clean,Somewhat safe,Very unsatisfied
1655,Friday,CHINA EASTERN,DEST_655,West US,Small,Gates 70-90,2018-12-31,194.6,Unacceptable,Neutral,Somewhat unsatisfied
1656,Sunday,CHINA EASTERN,DEST_656,Asia,Hub,Gates 91-102,2018-12-31,588.5,Dirty,Somewhat safe,Somewhat satisfied
1657,Wednesday,SOUTHWEST,DEST_657,EAST US,Large     ,Gates 50-59,2018-12-31,569.9,Dirty,Neutral,Very satisfied
1658,Tuesday,JETBLUE,DEST_658,Asia,Small,Gates 91-102,2018-12-31,400.7,Somewhat dirty,Very safe,Neutral
1659,Sunday,UNITED INTL,DEST_659,Middle East,Large     ,Gates 1-12,2018-12-31,532.2,Somewhat clean,Very safe,Very satisfied
1660,Sunday,ALASKA,DEST_660,Asia,Medium     ,Gates 91-102,2018-12-31,566.9,Dirty,Somewhat safe,Somewhat satisfied
1661,Tuesday,CHINA EASTERN,DEST_661,East US,Hub     ,Gates 20-39,2018-12-31,465.5,Dirty,Very safe,Somewhat satisfied
1662,Sunday,ALASKA,DEST_662,eur,    Medium,Gates 50-59,2018-12-31,45.4,Dirty,Somewhat unsafe,Somewhat satisfied
1663,Wednesday,UNITED INTL,DEST_663,Europe,Medium     ,Gates 20-39,2018-12-31,558.7,Unacceptable,Neutral,Somewhat satisfied
1664,Saturday,CHINA EASTERN,DEST_664,Central/South America,    Large,Gates 91-102,2018-12-31,44.7,Unacceptable,Somewhat unsafe,Somewhat satisfied
1665,Monday,AMERICAN,DEST_665,West US,Large,Gates 20-39,2018-12-31,575.2,Somewhat dirty,Somewhat safe,Neutral
1666,Friday,JETBLUE,DEST_666,Middle East,Hub     ,Gates 70-90,2018-12-31,358.1,Somewhat clean,Somewhat safe,Somewhat unsatisfied
1667,Tuesday,DELTA,DEST_667,eur,Medium,Gates 70-90,2018-12-31,583.1,Clean,Somewhat safe,Somewhat satisfied
1668,Sunday,CHINA EASTERN,DEST_668,Australia/New Zealand,Medium,Gates 40-48,2018-12-31,115.4,Dirty,Very unsafe,Very unsatisfied
1669,Wednesday,DELTA,DEST_669,Canada/Mexico,Medium     ,Gates 1-12,2018-12-31,56.0,Average,Very unsafe,Very satisfied
1670,Wednesday,DELTA,DEST_670,middle east,Small,Gates 50-59,2018-12-31,203.4,Average,Very safe,Somewhat unsatisfied
1671,Sunday,AMERICAN,DEST_671,middle east,Small     ,Gates 91-102,2018-12-31,92.9,Somewhat dirty,Somewhat unsafe,Very satisfied
1672,Sunday,CHINA EASTERN,DEST_672,eur,Large     ,Gates 91-102,2018-12-31,36.2,Dirty,Somewhat unsafe,Somewhat unsatisfied
1673,Thursday,UNITED INTL,DEST_673,Midwest US,Medium,Gates 20-39,2018-12-31,445.5,Clean,Neutral,Somewhat unsatisfied
1674,Sunday,AMERICAN,DEST_674,middle east,    Hub,Gates 40-48,2018-12-31,131.4,Average,Somewhat safe,Somewhat satisfied
1675,Thursday,SOUTHWEST,DEST_675,Central/South America,    Hub,Gates 1-12,2018-12-31,287.1,Unacceptable,Somewhat safe,Very satisfied
1676,Wednesday,UNITED,DEST_676,Midwest US,    Large,Gates 1-12,2018-12-31,290.5,Dirty,Somewhat unsafe,Very unsatisfied
1677,Tuesday,UNITED,DEST_677,eur,Hub     ,Gates 40-48,2018-12-31,585.5,Clean,Very safe,Neutral
1678,Tuesday,UNITED INTL,DEST_678,EAST US,Small     ,Gates 1-12,2018-12-31,592.3,Somewhat dirty,Very unsafe,Very unsatisfied
1679,Thursday,UNITED INTL,DEST_679,Central/South America,Large     ,Gates 70-90,2018-12-31,84.3,Unacceptable,Very unsafe,Neutral
1680,Wednesday,UNITED,DEST_680,middle east,Medium,Gates 40-48,2018-12-31,67.3,Unacceptable,Neutral,Neutral
1681,Monday,DELTA,DEST_681,middle east,Small,Gates 40-48,2018-12-31,306.1,Somewhat dirty,Very unsafe,Very satisfied
1682,Monday,UNITED INTL,DEST_682,EAST US,Large     ,Gates 40-48,2018-12-31,566.3,Average,Very safe,Very satisfied
1683,Wednesday,SOUTHWEST,DEST_683,West US,    Large,Gates 40-48,2018-12-31,31.6,Dirty,Neutral,Somewhat satisfied
1684,Saturday,ALASKA,DEST_684,Central/South America,Small,Gates 91-102,2018-12-31,137.9,Somewhat clean,Very unsafe,Somewhat unsatisfied
1685,Friday,ALASKA,DEST_685,Australia/New Zealand,Medium,Gates 1-12,2018-12-31,202.1,Somewhat dirty,Somewhat safe,Very unsatisfied
1686,Wednesday,SOUTHWEST,DEST_686,middle east,Medium     ,Gates 20-39,2018-12-31,560.7,Somewhat clean,Very safe,Somewhat unsatisfied
1687,Friday,UNITED INTL,DEST_687,Australia/New Zealand,    Hub,Gates 20-39,2018-12-31,34.7,Average,Very safe,Very unsatisfied
1688,Thursday,CHINA EASTERN,DEST_688,West US,Large     ,Gates 50-59,2018-12-31,268.4,Dirty,Somewhat unsafe,Somewhat unsatisfied
1689,Tuesday,UNITED INTL,DEST_689,eur,Large     ,Gates 50-59,2018-12-31,578.9,Clean,Neutral,Somewhat satisfied
